path,true,pred,confidence
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\84.jpg,Grade-1,Grade-2,0.899
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\134.jpg,Grade-3,Grade-2,0.630
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\33.jpg,Grade-1,Grade-2,0.532
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\47.jpg,Grade-2,Grade-1,0.839
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\6.jpg,Grade-2,Grade-3,0.609
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\155.jpg,Grade-1,Grade-2,0.880
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\100.jpg,Grade-1,Grade-2,0.799
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\25.jpg,Grade-1,Grade-2,0.688
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\39.jpg,Grade-2,Grade-3,0.949
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-3\77.jpg,Grade-3,Grade-2,0.967
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\181.jpg,Grade-1,Grade-2,0.794
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\191.jpg,Grade-1,Grade-2,0.713
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\17.jpg,Grade-2,Grade-3,0.995
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\46.jpg,Grade-3,Grade-2,0.565
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\54.jpg,Grade-1,Grade-2,0.547
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\150.jpg,Grade-1,Grade-2,0.562
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\76.jpg,Grade-1,Grade-2,0.553
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-1\164.jpg,Grade-1,Grade-2,0.534
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\3.jpg,Grade-2,Grade-3,0.593
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\58.jpg,Grade-1,Grade-2,0.527
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\132.jpg,Grade-1,Grade-2,0.584
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\316.jpg,Grade-2,Grade-1,0.971
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\142.jpg,Grade-1,Grade-2,0.651
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\188.jpg,Grade-1,Grade-2,0.500
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\106.jpg,Grade-2,Grade-3,0.568
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-1\199.jpg,Grade-1,Grade-2,0.532
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\2.jpg,Grade-1,Grade-2,0.655
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\175.jpg,Grade-1,Grade-2,0.669
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\69.jpg,Grade-1,Grade-2,0.556
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-3\67.jpg,Grade-3,Grade-2,0.614
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-3\66.jpg,Grade-3,Grade-2,0.800
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\116.jpg,Grade-3,Grade-2,0.682
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\95.jpg,Grade-1,Grade-2,0.741
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\22.jpg,Grade-1,Grade-2,0.501
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-1\215.jpg,Grade-1,Grade-2,0.827
