path,true,pred,confidence
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\84.jpg,Grade-1,Grade-2,0.635
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\134.jpg,Grade-3,Grade-2,0.637
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\117.jpg,Grade-2,Grade-1,0.519
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\47.jpg,Grade-2,Grade-1,0.655
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\6.jpg,Grade-2,Grade-3,0.713
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\155.jpg,Grade-1,Grade-2,0.480
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\100.jpg,Grade-1,Grade-2,0.680
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\39.jpg,Grade-2,Grade-3,0.976
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-3\77.jpg,Grade-3,Grade-2,0.759
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\191.jpg,Grade-1,Grade-3,0.445
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\33.jpg,Grade-2,Grade-3,0.758
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\17.jpg,Grade-2,Grade-3,0.885
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\54.jpg,Grade-1,Grade-2,0.494
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\82.jpg,Grade-1,Grade-2,0.638
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\68.jpg,Grade-2,Grade-1,0.533
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\150.jpg,Grade-1,Grade-2,0.569
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\76.jpg,Grade-1,Grade-2,0.566
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\58.jpg,Grade-1,Grade-2,0.499
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\132.jpg,Grade-1,Grade-2,0.625
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\316.jpg,Grade-2,Grade-1,0.851
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\142.jpg,Grade-1,Grade-2,0.583
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\50.jpg,Grade-1,Grade-2,0.613
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\188.jpg,Grade-1,Grade-2,0.499
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\106.jpg,Grade-2,Grade-3,0.768
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\131.jpg,Grade-2,Grade-3,0.494
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\3.jpg,Grade-2,Grade-1,0.561
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\23.jpg,Grade-2,Grade-1,0.565
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\115.jpg,Grade-1,Grade-2,0.618
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\2.jpg,Grade-1,Grade-2,0.588
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\175.jpg,Grade-1,Grade-2,0.654
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\69.jpg,Grade-1,Grade-2,0.466
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\1.jpg,Grade-1,Grade-2,0.520
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\116.jpg,Grade-3,Grade-2,0.643
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\118.jpg,Grade-2,Grade-1,0.494
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\59.jpg,Grade-1,Grade-2,0.567
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\22.jpg,Grade-1,Grade-2,0.581
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\80.jpg,Grade-2,Grade-3,0.490
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-3\74.jpg,Grade-3,Grade-2,0.697
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\18.jpg,Grade-2,Grade-1,0.492
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\48.jpg,Grade-1,Grade-3,0.653
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\105.jpg,Grade-3,Grade-2,0.685
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\27.jpg,Grade-1,Grade-2,0.615
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\40.jpg,Grade-2,Grade-3,0.852
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-1\302.jpg,Grade-1,Grade-2,0.620
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-1\47.jpg,Grade-1,Grade-2,0.614
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\82.jpg,Grade-2,Grade-3,0.557
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-3\75.jpg,Grade-3,Grade-2,0.750
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\85.jpg,Grade-2,Grade-3,0.746
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\117.jpg,Grade-1,Grade-2,0.576
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\135.jpg,Grade-3,Grade-2,0.508
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\111.jpg,Grade-1,Grade-2,0.451
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\86.jpg,Grade-2,Grade-1,0.823
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\104.jpg,Grade-3,Grade-2,0.518
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-1\160.jpg,Grade-1,Grade-2,0.538
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\158.jpg,Grade-1,Grade-2,0.638
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\20.jpg,Grade-1,Grade-2,0.564
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\29.jpg,Grade-1,Grade-2,0.638
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\31.jpg,Grade-1,Grade-2,0.489
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\32.jpg,Grade-2,Grade-3,0.536
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-1\208.jpg,Grade-1,Grade-2,0.548
