path,true,pred,confidence
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\84.jpg,Grade-1,Grade-2,0.750
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\47.jpg,Grade-2,Grade-1,0.686
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\6.jpg,Grade-2,Grade-3,0.678
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\155.jpg,Grade-1,Grade-2,0.746
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\100.jpg,Grade-1,Grade-2,0.707
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\25.jpg,Grade-1,Grade-2,0.507
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\39.jpg,Grade-2,Grade-3,0.922
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-3\77.jpg,Grade-3,Grade-2,0.832
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\191.jpg,Grade-1,Grade-2,0.504
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\17.jpg,Grade-2,Grade-3,0.937
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\154.jpg,Grade-1,Grade-2,0.579
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\46.jpg,Grade-3,Grade-2,0.569
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\82.jpg,Grade-1,Grade-2,0.543
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\68.jpg,Grade-2,Grade-1,0.532
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\150.jpg,Grade-1,Grade-2,0.748
