path,true,pred,confidence
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\84.jpg,Grade-1,Grade-2,0.705
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\11.jpg,Grade-2,Grade-3,0.515
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\134.jpg,Grade-3,Grade-2,0.682
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\47.jpg,Grade-2,Grade-1,0.779
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\6.jpg,Grade-2,Grade-3,0.701
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\155.jpg,Grade-1,Grade-2,0.597
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\100.jpg,Grade-1,Grade-2,0.613
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\25.jpg,Grade-1,Grade-2,0.552
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\39.jpg,Grade-2,Grade-3,0.960
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-3\77.jpg,Grade-3,Grade-2,0.937
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\191.jpg,Grade-1,Grade-3,0.760
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\33.jpg,Grade-2,Grade-3,0.758
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\44.jpg,Grade-2,Grade-3,0.678
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\17.jpg,Grade-2,Grade-3,0.936
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\12.jpg,Grade-2,Grade-1,0.487
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\82.jpg,Grade-1,Grade-2,0.951
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\111.jpg,Grade-2,Grade-1,0.604
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\150.jpg,Grade-1,Grade-3,0.714
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-1\164.jpg,Grade-1,Grade-2,0.595
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\3.jpg,Grade-2,Grade-3,0.695
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\316.jpg,Grade-2,Grade-1,0.992
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\142.jpg,Grade-1,Grade-2,0.504
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\50.jpg,Grade-1,Grade-2,0.501
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\49.jpg,Grade-2,Grade-3,0.407
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\106.jpg,Grade-2,Grade-3,0.723
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\131.jpg,Grade-2,Grade-3,0.579
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\3.jpg,Grade-2,Grade-1,0.709
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\23.jpg,Grade-2,Grade-1,0.684
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\37.jpg,Grade-2,Grade-3,0.545
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\175.jpg,Grade-1,Grade-2,0.676
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\69.jpg,Grade-1,Grade-2,0.493
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-3\67.jpg,Grade-3,Grade-2,0.508
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-3\66.jpg,Grade-3,Grade-2,0.751
