path,true,pred,confidence
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\84.jpg,Gajar,Kupro,1.000
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\11.jpg,Gajar,Kupro,0.869
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\134.jpg,Gajar,Kupro,0.983
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\47.jpg,Gajar,Kupro,0.971
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\25.jpg,Gajar,Kupro,0.970
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\194.jpg,Gajar,Kupro,0.841
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\191.jpg,Gajar,Kupro,0.998
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\68.jpg,Gajar,Kupro,0.723
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\33.jpg,Gajar,Kupro,0.979
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\44.jpg,Gajar,Kupro,0.985
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-3\33.jpg,Gajar,Kupro,0.641
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\187.jpg,Gajar,Kupro,0.956
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\12.jpg,Gajar,Kupro,0.875
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\82.jpg,Gajar,Kupro,0.992
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\150.jpg,Gajar,Kupro,0.868
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\76.jpg,Gajar,Kupro,0.562
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\3.jpg,Gajar,Kupro,0.856
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\126.jpg,Gajar,Kupro,0.976
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\132.jpg,Gajar,Kupro,0.677
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\172.jpg,Gajar,Kupro,0.987
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\142.jpg,Gajar,Kupro,0.897
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\50.jpg,Gajar,Kupro,0.543
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\188.jpg,Gajar,Kupro,0.633
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\166.jpg,Gajar,Kupro,0.734
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\49.jpg,Gajar,Kupro,0.740
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\106.jpg,Gajar,Kupro,0.822
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\78.jpg,Gajar,Kupro,0.891
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\23.jpg,Gajar,Kupro,0.708
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\115.jpg,Gajar,Kupro,0.635
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\6.jpg,Gajar,Kupro,0.553
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\175.jpg,Gajar,Kupro,0.751
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\69.jpg,Gajar,Kupro,0.636
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\100.jpg,Gajar,Kupro,0.762
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\129.jpg,Gajar,Kupro,0.976
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\125.jpg,Gajar,Kupro,0.548
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\116.jpg,Gajar,Kupro,0.819
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\95.jpg,Gajar,Kupro,0.939
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\22.jpg,Gajar,Kupro,0.957
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\49.jpg,Gajar,Kupro,0.678
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\151.jpg,Gajar,Kupro,0.795
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\48.jpg,Gajar,Kupro,0.636
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\105.jpg,Gajar,Kupro,0.986
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\27.jpg,Gajar,Kupro,0.580
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\91.jpg,Gajar,Kupro,0.617
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\36.jpg,Gajar,Kupro,0.537
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\135.jpg,Gajar,Kupro,0.613
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\132.jpg,Gajar,Kupro,0.764
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\8.jpg,Gajar,Kupro,0.856
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\111.jpg,Gajar,Kupro,0.649
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\20.jpg,Gajar,Kupro,0.653
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\29.jpg,Gajar,Kupro,0.767
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\92.jpg,Gajar,Kupro,0.641
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\31.jpg,Gajar,Kupro,0.969
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\144.jpg,Gajar,Kupro,0.730
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\33.jpg,Gajar,Kupro,0.615
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\189.jpg,Gajar,Kupro,0.871
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\152.jpg,Gajar,Kupro,0.975
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\61.jpg,Gajar,Kupro,0.516
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\96.jpg,Gajar,Kupro,0.863
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\38.jpg,Gajar,Kupro,0.631
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\163.jpg,Gajar,Kupro,0.624
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\140.jpg,Gajar,Kupro,0.531
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\2.jpg,Gajar,Kupro,0.634
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\119.jpg,Gajar,Kupro,0.991
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\16.jpg,Gajar,Kupro,0.945
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\113.jpg,Gajar,Kupro,0.923
