path,true,pred,confidence
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\49.jpg,Gajar,Fasli Toto,0.491
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\76.jpg,Gajar,Fasli Toto,0.542
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\56.jpg,Gajar,Kupro,0.508
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\179.jpg,Gajar,Fasli Toto,0.721
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\59.jpg,Gajar,Aseel,0.490
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\66.jpg,Gajar,Kupro,0.565
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\130.jpg,Gajar,Kupro,0.470
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\24.jpg,Gajar,Fasli Toto,0.626
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\15.jpg,Gajar,Kupro,0.981
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\110.jpg,Gajar,Fasli Toto,0.488
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\35.jpg,Gajar,Kupro,0.692
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\158.jpg,Gajar,Kupro,0.663
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\147.jpg,Gajar,Kupro,0.629
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\176.jpg,Gajar,Aseel,0.862
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\146.jpg,Gajar,Fasli Toto,0.603
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\9.jpg,Gajar,Fasli Toto,0.610
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\41.jpg,Gajar,Kupro,0.855
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\148.jpg,Gajar,Fasli Toto,0.388
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\101.jpg,Gajar,Fasli Toto,0.412
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\185.jpg,Gajar,Fasli Toto,0.935
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\24.jpg,Gajar,Aseel,0.503
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\188.jpg,Gajar,Kupro,0.657
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\126.jpg,Gajar,Kupro,0.355
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\73.jpg,Gajar,Kupro,0.721
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\128.jpg,Gajar,Aseel,0.354
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\51.jpg,Gajar,Fasli Toto,0.644
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-3\25.jpg,Gajar,Aseel,0.872
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\161.jpg,Gajar,Kupro,0.373
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\187.jpg,Gajar,Fasli Toto,0.400
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\32.jpg,Gajar,Kupro,0.609
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\81.jpg,Gajar,Fasli Toto,0.670
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\99.jpg,Gajar,Fasli Toto,0.497
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\124.jpg,Gajar,Kupro,0.601
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\26.jpg,Gajar,Fasli Toto,0.928
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\177.jpg,Gajar,Fasli Toto,0.757
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\27.jpg,Gajar,Kupro,0.418
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\20.jpg,Gajar,Aseel,0.553
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\71.jpg,Gajar,Fasli Toto,0.707
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\34.jpg,Gajar,Fasli Toto,0.729
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\25.jpg,Gajar,Aseel,0.952
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\101.jpg,Gajar,Fasli Toto,0.379
