path,true,pred,confidence
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\84.jpg,Grade-1,Grade-2,0.812
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\47.jpg,Grade-2,Grade-1,0.594
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\155.jpg,Grade-1,Grade-2,0.743
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\100.jpg,Grade-1,Grade-2,0.940
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\31.jpg,Grade-3,Grade-2,0.621
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\191.jpg,Grade-1,Grade-3,0.894
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\33.jpg,Grade-2,Grade-3,0.670
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\44.jpg,Grade-2,Grade-3,0.794
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\17.jpg,Grade-2,Grade-3,0.999
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\154.jpg,Grade-1,Grade-2,0.619
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\46.jpg,Grade-3,Grade-2,0.855
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\12.jpg,Grade-2,Grade-1,0.441
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\111.jpg,Grade-2,Grade-1,0.603
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\68.jpg,Grade-2,Grade-1,0.575
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\150.jpg,Grade-1,Grade-2,0.914
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\24.jpg,Grade-2,Grade-1,0.731
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\58.jpg,Grade-1,Grade-2,0.818
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\132.jpg,Grade-1,Grade-2,0.571
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\316.jpg,Grade-2,Grade-1,0.995
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\50.jpg,Grade-1,Grade-2,0.869
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\188.jpg,Grade-1,Grade-2,0.811
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\106.jpg,Grade-2,Grade-3,0.576
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\3.jpg,Grade-2,Grade-1,0.886
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\23.jpg,Grade-2,Grade-1,0.645
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\18.jpg,Grade-3,Grade-2,0.898
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\6.jpg,Grade-1,Grade-2,0.680
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\2.jpg,Grade-1,Grade-2,0.847
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-3\67.jpg,Grade-3,Grade-2,0.644
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\116.jpg,Grade-3,Grade-2,0.895
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\22.jpg,Grade-1,Grade-2,0.939
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\151.jpg,Grade-1,Grade-2,0.716
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-1\246.jpg,Grade-1,Grade-2,0.728
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\48.jpg,Grade-1,Grade-2,0.902
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\105.jpg,Grade-3,Grade-2,0.563
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\27.jpg,Grade-1,Grade-2,0.826
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-1\302.jpg,Grade-1,Grade-2,0.979
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\113.jpg,Grade-3,Grade-1,0.474
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\135.jpg,Grade-3,Grade-2,0.921
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\8.jpg,Grade-1,Grade-2,0.897
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\111.jpg,Grade-1,Grade-2,0.896
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\206.jpg,Grade-3,Grade-2,0.755
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\86.jpg,Grade-2,Grade-1,0.881
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\104.jpg,Grade-3,Grade-2,0.544
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\20.jpg,Grade-1,Grade-2,0.978
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\44.jpg,Grade-3,Grade-2,0.871
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\117.jpg,Grade-3,Grade-2,0.512
