path,true,pred,confidence
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\84.jpg,Grade-1,Grade-2,0.973
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\134.jpg,Grade-3,Grade-2,0.811
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\6.jpg,Grade-2,Grade-3,0.729
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\155.jpg,Grade-1,Grade-2,0.565
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\100.jpg,Grade-1,Grade-2,0.629
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\25.jpg,Grade-1,Grade-2,0.901
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\39.jpg,Grade-2,Grade-3,0.996
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-3\77.jpg,Grade-3,Grade-2,0.998
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-3\110.jpg,Grade-3,Grade-2,0.691
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\191.jpg,Grade-1,Grade-2,0.706
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\33.jpg,Grade-2,Grade-3,0.584
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\44.jpg,Grade-2,Grade-3,0.779
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\17.jpg,Grade-2,Grade-3,0.883
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\154.jpg,Grade-1,Grade-2,0.601
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\82.jpg,Grade-1,Grade-2,0.911
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\68.jpg,Grade-2,Grade-1,0.656
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\150.jpg,Grade-1,Grade-2,0.714
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-3\23.jpg,Grade-3,Grade-2,0.538
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-2\316.jpg,Grade-2,Grade-1,0.995
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\142.jpg,Grade-1,Grade-2,0.748
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\50.jpg,Grade-1,Grade-2,0.629
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\166.jpg,Grade-1,Grade-2,0.537
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\131.jpg,Grade-2,Grade-3,0.581
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-2\3.jpg,Grade-2,Grade-1,0.695
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\28.jpg,Grade-2,Grade-3,0.716
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\92.jpg,Grade-2,Grade-1,0.739
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-1\78.jpg,Grade-1,Grade-2,0.535
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\37.jpg,Grade-2,Grade-3,0.656
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\175.jpg,Grade-1,Grade-2,0.692
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Kupro\Large\Grade-3\66.jpg,Grade-3,Grade-2,0.992
