path,true,pred,confidence
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\76.jpg,Gajar,Kupro,0.711
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\105.jpg,Gajar,Fasli Toto,0.839
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\179.jpg,Gajar,Fasli Toto,0.780
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\113.jpg,Gajar,Aseel,0.542
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\176.jpg,Gajar,Aseel,0.844
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\27.jpg,Gajar,Aseel,0.935
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\41.jpg,Gajar,Kupro,0.550
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\185.jpg,Gajar,Fasli Toto,0.408
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\140.jpg,Gajar,Aseel,0.565
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-2\99.jpg,Gajar,Aseel,0.585
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\26.jpg,Gajar,Aseel,0.450
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\101.jpg,Gajar,Fasli Toto,0.498
