path,true,pred,confidence
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\56.jpg,Gajar,Kupro,0.904
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\105.jpg,Gajar,Fasli Toto,0.598
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-3\5.jpg,Gajar,Fasli Toto,0.382
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\179.jpg,Gajar,Fasli Toto,0.749
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\15.jpg,Gajar,Kupro,0.824
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\22.jpg,Gajar,Kupro,0.704
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-2\35.jpg,Gajar,Kupro,0.605
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\147.jpg,Gajar,Kupro,0.663
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\176.jpg,Gajar,Aseel,0.802
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\146.jpg,Gajar,Kupro,0.458
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\41.jpg,Gajar,Kupro,0.595
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Aseel\Small\Grade-1\147.jpg,Aseel,Fasli Toto,0.622
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Large\Grade-3\90.jpg,Gajar,Fasli Toto,0.556
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Fasli Toto\Medium\Grade-1\135.jpg,Fasli Toto,Aseel,0.425
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\38.jpg,Gajar,Kupro,0.650
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-1\188.jpg,Gajar,Kupro,0.611
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\73.jpg,Gajar,Kupro,0.796
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\51.jpg,Gajar,Kupro,0.484
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\167.jpg,Gajar,Fasli Toto,0.860
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Fasli Toto\Small\Grade-1\83.jpg,Fasli Toto,Aseel,0.699
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Medium\Grade-1\14.jpg,Gajar,Kupro,0.527
C:\Users\qusai\OneDrive\Desktop\Date Fruit\Gajar\Small\Grade-3\175.jpg,Gajar,Aseel,0.563
